turnstilelink_link_1,turnstilelink_link_1/_text,turnstilelink_link_1/_title,company_content,company_link,company_link/_text,company_link/_title,turnstilelink_link_2,turnstilelink_link_2/_text,turnstilelink_link_2/_title,turnstilelink_link_2_numbers,ratingnumber_number,slnounderline_value,slnounderline_value_numbers,location_value,moreloc_link,moreloc_link/_text,moreloc_link/_title,moreloc_link_numbers,snip_value,snip_value_prices,snip_values,summary_description,resultlinktext_value,resultlinkblock_value,date_value,date_value_numbers,label,savejob_label,email_link,email_link/_text,email_link/_title,more_label,mat_contents,mat_links,mat_links/_text,mat_links/_title,content,content_prices,links,links/_text,links/_title,"_PAGE_NUMBER"
"http://www.indeed.co.uk/rc/clk?jk=fbcefaab97822993","Junior Data Scientist","Junior Data Scientist","Channel4","","","","","","","","","","","London","","","","","","","","Our Data Scientists are regular speakers at Data conferences and Channel 4 frequently sponsors and hosts Data conferences....","3 days ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all Channel4 jobs - London jobs","http://www.indeed.co.uk/Channel4-jobs; http://www.indeed.co.uk/jobs-in-London","Channel4 jobs; London jobs","","Junior Data Scientist Channel4 - London Our Data Scientists are regular speakers at Data conferences and Channel 4 frequently sponsors and hosts Data conferences.... 3 days ago - save job - email - more... View all Channel4 jobs - London jobs","","http://www.indeed.co.uk/rc/clk?jk=fbcefaab97822993; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Channel4-jobs; http://www.indeed.co.uk/jobs-in-London","Junior Data Scientist; save job; email; more...; ; Channel4 jobs; London jobs","Junior Data Scientist; Save this job to my.indeed; ; ; Close; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=33d209c8e9874eb0","Data Scientist","Data Scientist","BCT Resourcing","","","","","","","","","","","London","","","","","£80,000 - £120,000 a year","80000; -120000","- Full-time, Permanent","As a Data Scientist, you will have:. If you are also interested in exploring opportunities for a Data Scientist globally, please feel free to get in touch....","9 days ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all BCT Resourcing jobs - London jobs","http://www.indeed.co.uk/Bct-Resourcing-jobs; http://www.indeed.co.uk/jobs-in-London","BCT Resourcing jobs; London jobs","","Data Scientist BCT Resourcing - London £80,000 - £120,000 a year - Full-time, Permanent As a Data Scientist, you will have:. If you are also interested in exploring opportunities for a Data Scientist globally, please feel free to get in touch.... 9 days ago - save job - email - more... View all BCT Resourcing jobs - London jobs","80000; -120000","http://www.indeed.co.uk/rc/clk?jk=33d209c8e9874eb0; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Bct-Resourcing-jobs; http://www.indeed.co.uk/jobs-in-London","Data Scientist; save job; email; more...; ; BCT Resourcing jobs; London jobs","Data Scientist; Save this job to my.indeed; ; ; Close; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=03fa44eefc0fbce9","Data Science Intern","Data Science Intern","Soma Analytics","","","","","","","","","","","London","","","","","","","Internship","Knowledge of data analysis tools. Meaningful visualizations and help us gain insight into our data. We are looking for a talented Data Science Intern who loves...","1 day ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all Soma Analytics jobs - London jobs","http://www.indeed.co.uk/Soma-Analytics-jobs; http://www.indeed.co.uk/jobs-in-London","Soma Analytics jobs; London jobs","","Data Science Intern Soma Analytics - London Internship Knowledge of data analysis tools. Meaningful visualizations and help us gain insight into our data. We are looking for a talented Data Science Intern who loves... 1 day ago - save job - email - more... View all Soma Analytics jobs - London jobs","","http://www.indeed.co.uk/rc/clk?jk=03fa44eefc0fbce9; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Soma-Analytics-jobs; http://www.indeed.co.uk/jobs-in-London","Data Science Intern; save job; email; more...; ; Soma Analytics jobs; London jobs","Data Science Intern; Save this job to my.indeed; ; ; Close; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=3a06db1942fa0b63","Junior Data Scientist","Junior Data Scientist","Explore Recruitment Solutions","","","","","","","","","","","Lancashire","http://www.indeed.co.uk/jobs?q=data+scientist&l=England&rbt=Junior+Data+Scientist&rbc=Explore+Recruitment+Solutions&jtid=6e3aba355fc02a0c&jcid=d598a20fd5ae2bab&grp=tcl","+1 location","","","£25,000 - £35,000 a year","25000; -35000","- Permanent","Junior Data Scientist. Key responsibilities of the Data Scientist:. Knowledge and skills of the Data Scientist:....","CWJobs.co.uk","-","4 days ago","4","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all Explore Recruitment Solutions jobs - Lancashire jobs","http://www.indeed.co.uk/Explore-Recruitment-Solutions-jobs; http://www.indeed.co.uk/jobs-in-Lancashire","Explore Recruitment Solutions jobs; Lancashire jobs","","Junior Data Scientist Explore Recruitment Solutions - Lancashire +1 location £25,000 - £35,000 a year - Permanent Junior Data Scientist. Key responsibilities of the Data Scientist:. Knowledge and skills of the Data Scientist:.... CWJobs.co.uk - 4 days ago - save job - email - more... View all Explore Recruitment Solutions jobs - Lancashire jobs","25000; -35000","http://www.indeed.co.uk/rc/clk?jk=3a06db1942fa0b63; http://www.indeed.co.uk/jobs?q=data+scientist&l=England&rbt=Junior+Data+Scientist&rbc=Explore+Recruitment+Solutions&jtid=6e3aba355fc02a0c&jcid=d598a20fd5ae2bab&grp=tcl; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Explore-Recruitment-Solutions-jobs; http://www.indeed.co.uk/jobs-in-Lancashire","Junior Data Scientist; +1 location; save job; email; more...; ; Explore Recruitment Solutions jobs; Lancashire jobs","Junior Data Scientist; ; Save this job to my.indeed; ; ; Close; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=6b459f99e352e56f","Machine Learning Engineer - Siri","Machine Learning Engineer - Siri","Apple","http://www.indeed.co.uk/cmp/Apple?from=SERP&campaignid=serp-linkcompanyname&fromjk=6b459f99e352e56f&jcid=c1099851e9794854","Apple","","http://www.indeed.co.uk/cmp/Apple/reviews?jcid=c1099851e9794854","4.32,243 reviews","Apple reviews","432.243","4.3","2,243 reviews","2243","Cambridge","","","","","","","","Your role will be that of scientist, researcher and engineer. The job would be somewhat tailored around your background, but would touch reams of data, the...","15 days ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all Apple jobs - Cambridge jobs; Learn more about working at Apple","http://www.indeed.co.uk/Apple-jobs; http://www.indeed.co.uk/jobs-in-Cambridge; http://www.indeed.co.uk/cmp/Apple?fromjk=6b459f99e352e56f&from=serp-more&campaignid=serp-more&jcid=c1099851e9794854","Apple jobs; Cambridge jobs; Apple","","Machine Learning Engineer - Siri Apple - 4.32,243 reviews - Cambridge Your role will be that of scientist, researcher and engineer. The job would be somewhat tailored around your background, but would touch reams of data, the... 15 days ago - save job - email - more... View all Apple jobs - Cambridge jobs Learn more about working at Apple","","http://www.indeed.co.uk/rc/clk?jk=6b459f99e352e56f; http://www.indeed.co.uk/cmp/Apple?from=SERP&campaignid=serp-linkcompanyname&fromjk=6b459f99e352e56f&jcid=c1099851e9794854; http://www.indeed.co.uk/cmp/Apple/reviews?jcid=c1099851e9794854; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Apple-jobs; http://www.indeed.co.uk/jobs-in-Cambridge; http://www.indeed.co.uk/cmp/Apple?fromjk=6b459f99e352e56f&from=serp-more&campaignid=serp-more&jcid=c1099851e9794854","Machine Learning Engineer - Siri; Apple; 4.32,243 reviews; save job; email; more...; ; Apple jobs; Cambridge jobs; Apple","Machine Learning Engineer - Siri; ; Apple reviews; Save this job to my.indeed; ; ; Close; ; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=600b291dd3be18ac","Data Scientist","Data Scientist","McLaren","http://www.indeed.co.uk/cmp/Mclaren?from=SERP&campaignid=serp-linkcompanyname&fromjk=600b291dd3be18ac&jcid=ae015ec6bf7bc3c3","McLaren","","http://www.indeed.co.uk/cmp/Mclaren/reviews?jcid=ae015ec6bf7bc3c3","4.416 reviews","Mclaren reviews","4.416","4.4","16 reviews","16","Woking","","","","","","","","Data Scientists at McLaren Applied Technologies solve problems using innovative cutting-edge techniques. Complex data set in MATLAB, Python or R;...","16 days ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all McLaren jobs - Woking jobs; Learn more about working at Mclaren","http://www.indeed.co.uk/Mclaren-jobs; http://www.indeed.co.uk/jobs-in-Woking; http://www.indeed.co.uk/cmp/Mclaren?fromjk=600b291dd3be18ac&from=serp-more&campaignid=serp-more&jcid=ae015ec6bf7bc3c3","McLaren jobs; Woking jobs; Mclaren","","Data Scientist McLaren - 4.416 reviews - Woking Data Scientists at McLaren Applied Technologies solve problems using innovative cutting-edge techniques. Complex data set in MATLAB, Python or R;... 16 days ago - save job - email - more... View all McLaren jobs - Woking jobs Learn more about working at Mclaren","","http://www.indeed.co.uk/rc/clk?jk=600b291dd3be18ac; http://www.indeed.co.uk/cmp/Mclaren?from=SERP&campaignid=serp-linkcompanyname&fromjk=600b291dd3be18ac&jcid=ae015ec6bf7bc3c3; http://www.indeed.co.uk/cmp/Mclaren/reviews?jcid=ae015ec6bf7bc3c3; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Mclaren-jobs; http://www.indeed.co.uk/jobs-in-Woking; http://www.indeed.co.uk/cmp/Mclaren?fromjk=600b291dd3be18ac&from=serp-more&campaignid=serp-more&jcid=ae015ec6bf7bc3c3","Data Scientist; McLaren; 4.416 reviews; save job; email; more...; ; McLaren jobs; Woking jobs; Mclaren","Data Scientist; ; Mclaren reviews; Save this job to my.indeed; ; ; Close; ; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=f0b0badf5757b4fb","Quantitative Analyst","Quantitative Analyst","BP","http://www.indeed.co.uk/cmp/BP?from=SERP&campaignid=serp-linkcompanyname&fromjk=f0b0badf5757b4fb&jcid=03cacc905f5db444","BP","","http://www.indeed.co.uk/cmp/BP/reviews?jcid=03cacc905f5db444","4.01,052 reviews","BP reviews","401.052","4","1,052 reviews","1052","London","","","","","","","","The IST Quantitative Analytics team is a global team located on four of BP’s trading floors worldwide. The team has a remit to provide quantitative support to","1 day ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all BP jobs - London jobs; Learn more about working at BP","http://www.indeed.co.uk/BP-jobs; http://www.indeed.co.uk/jobs-in-London; http://www.indeed.co.uk/cmp/BP?fromjk=f0b0badf5757b4fb&from=serp-more&campaignid=serp-more&jcid=03cacc905f5db444","BP jobs; London jobs; BP","","Quantitative Analyst BP - 4.01,052 reviews - London The IST Quantitative Analytics team is a global team located on four of BP’s trading floors worldwide. The team has a remit to provide quantitative support to 1 day ago - save job - email - more... View all BP jobs - London jobs Learn more about working at BP","","http://www.indeed.co.uk/rc/clk?jk=f0b0badf5757b4fb; http://www.indeed.co.uk/cmp/BP?from=SERP&campaignid=serp-linkcompanyname&fromjk=f0b0badf5757b4fb&jcid=03cacc905f5db444; http://www.indeed.co.uk/cmp/BP/reviews?jcid=03cacc905f5db444; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/BP-jobs; http://www.indeed.co.uk/jobs-in-London; http://www.indeed.co.uk/cmp/BP?fromjk=f0b0badf5757b4fb&from=serp-more&campaignid=serp-more&jcid=03cacc905f5db444","Quantitative Analyst; BP; 4.01,052 reviews; save job; email; more...; ; BP jobs; London jobs; BP","Quantitative Analyst; ; BP reviews; Save this job to my.indeed; ; ; Close; ; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=3d849f6837cfc01a","Government Data Scientist","Government Data Scientist","Government Statistical Service","","","","","","","","","","","London","","","","","£25,675 a year","25675","- Permanent","Statisticians - Data analysis. You will deliver insight from data using statistical and data science techniques, applying your skills in coding, mathematics and...","Civil Service","-","9 days ago","9","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all Government Statistical Service jobs - London jobs","http://www.indeed.co.uk/Government-Statistical-Service-jobs; http://www.indeed.co.uk/jobs-in-London","Government Statistical Service jobs; London jobs","","Government Data Scientist Government Statistical Service - London £25,675 a year - Permanent Statisticians - Data analysis. You will deliver insight from data using statistical and data science techniques, applying your skills in coding, mathematics and... Civil Service - 9 days ago - save job - email - more... View all Government Statistical Service jobs - London jobs","25675","http://www.indeed.co.uk/rc/clk?jk=3d849f6837cfc01a; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Government-Statistical-Service-jobs; http://www.indeed.co.uk/jobs-in-London","Government Data Scientist; save job; email; more...; ; Government Statistical Service jobs; London jobs","Government Data Scientist; Save this job to my.indeed; ; ; Close; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=88154960f558d7d0","Data Scientist, Drug Discovery","Data Scientist, Drug Discovery","GlaxoSmithKline","http://www.indeed.co.uk/cmp/Glaxosmithkline?from=SERP&campaignid=serp-linkcompanyname&fromjk=88154960f558d7d0&jcid=4e42ec53f4b93e02","GlaxoSmithKline","","http://www.indeed.co.uk/cmp/Glaxosmithkline/reviews?jcid=4e42ec53f4b93e02","4.21,549 reviews","Glaxosmithkline reviews","421.549","4.2","1,549 reviews","1549","Stevenage","","","","","","","","PhD required ( Physics, Mathematics, Data Science). You will have the opportunity to work with the best available data sets with the chance to select and...","9 days ago","","","","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all GlaxoSmithKline jobs - Stevenage jobs; Learn more about working at Glaxosmithkline","http://www.indeed.co.uk/Glaxosmithkline-jobs; http://www.indeed.co.uk/jobs-in-Stevenage; http://www.indeed.co.uk/cmp/Glaxosmithkline?fromjk=88154960f558d7d0&from=serp-more&campaignid=serp-more&jcid=4e42ec53f4b93e02","GlaxoSmithKline jobs; Stevenage jobs; Glaxosmithkline","","Data Scientist, Drug Discovery GlaxoSmithKline - 4.21,549 reviews - Stevenage PhD required ( Physics, Mathematics, Data Science). You will have the opportunity to work with the best available data sets with the chance to select and... 9 days ago - save job - email - more... View all GlaxoSmithKline jobs - Stevenage jobs Learn more about working at Glaxosmithkline","","http://www.indeed.co.uk/rc/clk?jk=88154960f558d7d0; http://www.indeed.co.uk/cmp/Glaxosmithkline?from=SERP&campaignid=serp-linkcompanyname&fromjk=88154960f558d7d0&jcid=4e42ec53f4b93e02; http://www.indeed.co.uk/cmp/Glaxosmithkline/reviews?jcid=4e42ec53f4b93e02; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Glaxosmithkline-jobs; http://www.indeed.co.uk/jobs-in-Stevenage; http://www.indeed.co.uk/cmp/Glaxosmithkline?fromjk=88154960f558d7d0&from=serp-more&campaignid=serp-more&jcid=4e42ec53f4b93e02","Data Scientist, Drug Discovery; GlaxoSmithKline; 4.21,549 reviews; save job; email; more...; ; GlaxoSmithKline jobs; Stevenage jobs; Glaxosmithkline","Data Scientist, Drug Discovery; ; Glaxosmithkline reviews; Save this job to my.indeed; ; ; Close; ; ; ","1"
"http://www.indeed.co.uk/rc/clk?jk=dfe65b3107b2ce84","Data Scientist (Graduate) - Machine Learning, big data, math...","Data Scientist (Graduate) - Machine Learning, big data, maths, Hadoop","ECM Selection","","","","","","","","","","","Surrey","","","","","£40,000 a year","40000","- Permanent","Superb opportunity for graduate/junior data scientist working at the forefront of applied machine learning; Machine learning, big data, maths, neural networks,...","CWJobs.co.uk","-","4 days ago","4","-","save job","mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk","email","","more...","View all ECM Selection jobs - Surrey jobs","http://www.indeed.co.uk/Ecm-Selection-jobs; http://www.indeed.co.uk/jobs-in-Surrey","ECM Selection jobs; Surrey jobs","","Data Scientist (Graduate) - Machine Learning, big data, math... ECM Selection - Surrey £40,000 a year - Permanent Superb opportunity for graduate/junior data scientist working at the forefront of applied machine learning; Machine learning, big data, maths, neural networks,... CWJobs.co.uk - 4 days ago - save job - email - more... View all ECM Selection jobs - Surrey jobs","40000","http://www.indeed.co.uk/rc/clk?jk=dfe65b3107b2ce84; http://www.indeed.co.uk/data-scientist-jobs-in-England#; mailto:?subject=I%20found%20this%20job%20on%20Indeed&body=http://www.indeed.co.uk; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/data-scientist-jobs-in-England#; http://www.indeed.co.uk/Ecm-Selection-jobs; http://www.indeed.co.uk/jobs-in-Surrey","Data Scientist (Graduate) - Machine Learning, big data, math...; save job; email; more...; ; ECM Selection jobs; Surrey jobs","Data Scientist (Graduate) - Machine Learning, big data, maths, Hadoop; Save this job to my.indeed; ; ; Close; ; ","1"
